legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=1 | b=1 | critical_value=0.0022277832041205444,32836.76644635392,32545.74633527596,31390.33798031424,27779.582345695624,17788.99940546673,6322.875040522964,1547.6477204833768,685.7479392499513,471.30964351461,271.47923559380786,176.7380920818871,124.42396246797182,92.47240149702465,71.50492316066419,56.98761363764823,46.50960565465421
max_sprt | alpha=0.015625000586733228,32613.802791372716,32249.245563102813,31218.199806778623,28304.386179764315,19465.748236095133,7660.0222936355,1871.076438374172,726.1859150474107,483.6446359091234,274.6688961513449,177.02865164542087,123.5285757907424,91.03410781211277,69.80539160566093,55.16069444947868,44.62237249903799
bravo    | p=0.7 | alpha=0.05832865464687347,32616.056329103507,32077.420760687328,31351.10724931554,30797.168139330064,30057.99087043459,29071.371763915708,27753.913292710316,25993.652644589907,23640.17945222871,16286.088395256736,4996.735773037976,277.39376560163083,94.77239478706274,61.79156301112497,45.81985860201856,36.396176441480385
bravo    | p=0.55 | alpha=0.054657226562499994,32995.638481673115,32847.255949388804,31399.694465934088,28004.084010522616,19795.245956655348,8662.172093374274,2171.095351272826,658.6893026916183,419.24458360479696,266.77759677174856,195.849210740019,154.703371962275,127.84369490154344,108.93018478252432,94.89064081446277,84.05548918799094
bravo    | p=0.51 | alpha=0.20197070312499998,32999.99959470917,32993.624361896305,31449.98522767333,24342.35686859267,11335.763041058448,3127.8891817817907,1230.0435855142807,891.793881646209,729.4103133857876,535.5848419440098,423.0758623892906,349.61008437769044,297.88206016515136,259.50154538783414,229.8589218636607,206.20305565157832
clip     | alpha=0.045876953124999995,32832.17435242869,32527.476701032334,31404.64741155251,28133.087537155297,18751.40885558482,7064.184571223636,1711.3206503212066,695.4678692834748,468.8042020765245,268.1243102180937,174.07564241417418,122.41926248296429,90.96676210377741,70.3643943626891,56.1152482114904,45.83925076902403
bravo_without_replacement | p=0.7 | alpha=0.058249764911830426,32616.052792384315,32077.353915413398,31350.75313294277,30796.41687103231,30056.478813305126,29068.48270388451,27748.671690282208,25984.62803084691,23625.48515970979,16256.332131859086,4982.442761353756,276.9040914268304,94.6301886599296,61.752122797047555,45.809016173678806,36.39356590168311
bravo_without_replacement | p=0.55 | alpha=0.051730468749999994,32996.09914283072,32853.73737764459,31398.757145294087,27915.225347172734,19512.558558619694,8362.280482905968,2070.997089922522,649.7045184248177,421.0518667411722,269.43475712833055,198.285622439528,156.8556086087357,129.74803482638498,110.62904766787258,96.42038291581517,85.44535059322412
bravo_without_replacement | p=0.51 | alpha=0.17660546875,32999.99985882039,32995.139756037424,31478.57528649696,24298.33746280857,11225.367759734378,3114.7258523616283,1271.4965150470807,936.2082742152523,770.1799481893304,569.3513060525581,451.5195755075803,374.0607954816708,319.2430250839649,278.5036522796209,247.1316389315941,222.1103676358918
truncated_bayesian | a=1 | b=1 | critical_value=0.058603164062500004,32523.604468628768,32103.98696532528,31364.218400938622,29949.814510622284,24609.54708879747,13239.805948551078,3864.552128816237,1048.9028773426198,576.517246818153,304.31454873483864,186.59025009389083,125.22510963106647,89.49629453650705,67.00035908212004,51.97658086324732,41.46764646127738
bayesian_with_replacement | a=1 | b=1 | critical_value=0.0024414062599511727,32831.98791280312,32526.68233375964,31404.468200980264,28137.867241778065,18764.55103816576,7074.715012731639,1713.959002143766,695.8331506197487,468.92707969816513,268.121041060508,174.0095001056207,122.32915829823447,90.87536940801935,70.28495619132512,56.05426562419324,45.79800374579897
